BuyHold,Strategy_gross,Strategy_net,Turnover,TxCost
,,,,
-0.01099963605293941,-0.0,-0.0,0.0,0.0
0.00041211871861968064,0.00041211871861968064,-0.0005878812813803194,1.0,0.001
-0.019558447957922165,-0.019558447957922165,-0.019558447957922165,0.0,0.0
0.028977919960195386,0.028977919960195386,0.028977919960195386,0.0,0.0
-0.002040496765064903,-0.002040496765064903,-0.002040496765064903,0.0,0.0
-0.0026585694001572957,-0.0026585694001572957,-0.0026585694001572957,0.0,0.0
0.009072880890751867,0.009072880890751867,0.009072880890751867,0.0,0.0
0.03901240367555703,0.03901240367555703,0.03901240367555703,0.0,0.0
0.011000502182779925,0.011000502182779925,0.011000502182779925,0.0,0.0
-0.018714741019826953,-0.018714741019826953,-0.018714741019826953,0.0,0.0
0.00039405119680169243,0.00039405119680169243,0.00039405119680169243,0.0,0.0
-0.009753907087388991,-0.009753907087388991,-0.009753907087388991,0.0,0.0
0.007810654499106118,0.007810654499106118,0.007810654499106118,0.0,0.0
0.03904423533357182,0.03904423533357182,0.03904423533357182,0.0,0.0
-0.004227839021725632,-0.004227839021725632,-0.004227839021725632,0.0,0.0
-0.009446499878222658,-0.009446499878222658,-0.009446499878222658,0.0,0.0
0.0034196615442685374,0.0034196615442685374,0.0034196615442685374,0.0,0.0
-0.002687979847696531,-0.002687979847696531,-0.002687979847696531,0.0,0.0
0.0019252790233714734,0.0019252790233714734,0.0019252790233714734,0.0,0.0
0.006869229828526668,0.006869229828526668,0.006869229828526668,0.0,0.0
-0.004961911546401909,-0.004961911546401909,-0.004961911546401909,0.0,0.0
0.0058497350739059595,0.0058497350739059595,0.0058497350739059595,0.0,0.0
-0.026693456925761083,-0.026693456925761083,-0.026693456925761083,0.0,0.0
0.0396197900192532,0.0396197900192532,0.0396197900192532,0.0,0.0
-0.020209580567938867,-0.020209580567938867,-0.020209580567938867,0.0,0.0
0.015337742801892817,0.015337742801892817,0.015337742801892817,0.0,0.0
-0.004735386538499031,-0.004735386538499031,-0.004735386538499031,0.0,0.0
0.003378354651259796,0.003378354651259796,0.003378354651259796,0.0,0.0
0.04893497299252947,0.04893497299252947,0.04893497299252947,0.0,0.0
-0.01903158312907638,-0.01903158312907638,-0.01903158312907638,0.0,0.0
0.006456365247117901,0.006456365247117901,0.006456365247117901,0.0,0.0
-0.006873233808975643,-0.006873233808975643,-0.006873233808975643,0.0,0.0
-0.03455752004724,-0.03455752004724,-0.03455752004724,0.0,0.0
-0.007598349269195115,-0.007598349269195115,-0.007598349269195115,0.0,0.0
0.008475333030016907,0.008475333030016907,0.008475333030016907,0.0,0.0
-0.0032470615268626046,-0.0032470615268626046,-0.0032470615268626046,0.0,0.0
0.016431911741533467,0.016431911741533467,0.016431911741533467,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.00853092096566943,0.00853092096566943,0.00853092096566943,0.0,0.0
0.015702129895792227,0.015702129895792227,0.015702129895792227,0.0,0.0
0.03096539579537949,0.03096539579537949,0.03096539579537949,0.0,0.0
-0.00035693559633631633,-0.00035693559633631633,-0.00035693559633631633,0.0,0.0
0.005178654249482051,0.005178654249482051,0.005178654249482051,0.0,0.0
0.01394637104133234,0.01394637104133234,0.01394637104133234,0.0,0.0
0.005344094807125055,0.005344094807125055,0.005344094807125055,0.0,0.0
0.02592472183537531,0.02592472183537531,0.02592472183537531,0.0,0.0
0.016605725500093094,0.016605725500093094,0.016605725500093094,0.0,0.0
-0.0022977126910792567,-0.0022977126910792567,-0.0022977126910792567,0.0,0.0
-0.0008374269527469114,-0.0008374269527469114,-0.0008374269527469114,0.0,0.0
0.0023891488328133814,0.0023891488328133814,0.0023891488328133814,0.0,0.0
-0.009699682342230842,-0.009699682342230842,-0.009699682342230842,0.0,0.0
-0.01920910753671179,-0.01920910753671179,-0.01920910753671179,0.0,0.0
0.012827348342371758,0.012827348342371758,0.012827348342371758,0.0,0.0
0.01959218305674404,0.01959218305674404,0.01959218305674404,0.0,0.0
-0.016006101090878966,-0.016006101090878966,-0.016006101090878966,0.0,0.0
0.004193551240354809,0.004193551240354809,0.004193551240354809,0.0,0.0
0.012106779174109406,0.012106779174109406,0.012106779174109406,0.0,0.0
0.0018754134328913263,0.0018754134328913263,0.0018754134328913263,0.0,0.0
0.010982775688676893,0.010982775688676893,0.010982775688676893,0.0,0.0
0.005349200473466542,0.005349200473466542,0.005349200473466542,0.0,0.0
0.031352449311847996,0.031352449311847996,0.031352449311847996,0.0,0.0
-0.018652195540231786,-0.018652195540231786,-0.018652195540231786,0.0,0.0
-0.006915503850326132,-0.006915503850326132,-0.006915503850326132,0.0,0.0
0.013682531537463793,0.013682531537463793,0.013682531537463793,0.0,0.0
0.0014061315245499362,0.0014061315245499362,0.0014061315245499362,0.0,0.0
-0.005375327303009381,-0.005375327303009381,-0.005375327303009381,0.0,0.0
0.008751942483107067,0.008751942483107067,0.008751942483107067,0.0,0.0
0.010995383313077145,0.010995383313077145,0.010995383313077145,0.0,0.0
-0.009412430141261807,-0.009412430141261807,-0.009412430141261807,0.0,0.0
-0.04104132085272594,-0.04104132085272594,-0.04104132085272594,0.0,0.0
0.032347914660726174,0.032347914660726174,0.032347914660726174,0.0,0.0
-0.009799293177136126,-0.009799293177136126,-0.009799293177136126,0.0,0.0
0.0010993514598764964,0.0010993514598764964,0.0010993514598764964,0.0,0.0
-0.03815932294900859,-0.03815932294900859,-0.03815932294900859,0.0,0.0
0.016495299263061147,0.016495299263061147,0.016495299263061147,0.0,0.0
